,id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
8216353,8216353,Female,26,1,45.0,1,< 1 Year,No,28147.0,152.0,130,0
1287810,1287810,Female,76,1,28.0,0,> 2 Years,Yes,30562.0,3.0,118,0
1212604,1212604,Female,43,1,28.0,0,1-2 Year,Yes,43443.0,26.0,196,1
2562563,2562563,Male,27,1,13.0,0,1-2 Year,Yes,2630.0,156.0,89,0
4574383,4574383,Male,79,1,28.0,0,1-2 Year,Yes,28720.0,122.0,77,0
8654447,8654447,Male,45,1,46.0,0,1-2 Year,Yes,33284.0,154.0,276,0
449657,449657,Male,28,1,29.0,1,< 1 Year,No,28775.0,152.0,197,0
3062598,3062598,Male,62,1,28.0,0,> 2 Years,Yes,71340.0,3.0,216,0
8900307,8900307,Male,42,1,14.0,0,1-2 Year,Yes,32345.0,124.0,115,0
165176,165176,Male,29,1,32.0,0,< 1 Year,No,33879.0,152.0,77,0
11100464,11100464,Female,46,1,8.0,1,1-2 Year,No,2630.0,26.0,112,0
10807685,10807685,Female,30,1,16.0,1,< 1 Year,No,2630.0,152.0,129,0
1020654,1020654,Male,45,1,33.0,0,1-2 Year,Yes,2630.0,157.0,76,0
8902802,8902802,Male,22,1,8.0,0,< 1 Year,Yes,47943.0,152.0,275,0
7118253,7118253,Male,23,1,10.0,0,< 1 Year,Yes,29229.0,152.0,298,0
7078717,7078717,Female,75,1,18.0,1,1-2 Year,No,2630.0,31.0,290,0
4725373,4725373,Male,45,1,11.0,1,1-2 Year,No,32444.0,124.0,24,0
8280565,8280565,Female,26,1,29.0,1,< 1 Year,No,30461.0,152.0,253,0
2450519,2450519,Male,45,1,33.0,0,1-2 Year,Yes,28961.0,124.0,77,0
10907882,10907882,Male,24,1,8.0,1,< 1 Year,No,27384.0,152.0,19,0
10965640,10965640,Female,32,1,8.0,0,1-2 Year,Yes,36876.0,124.0,251,1
2454324,2454324,Male,23,1,25.0,0,< 1 Year,Yes,20552.0,152.0,168,0
7674029,7674029,Female,24,1,18.0,1,< 1 Year,No,29555.0,152.0,80,0
8787813,8787813,Male,63,1,3.0,1,1-2 Year,No,35289.0,122.0,229,0
3148779,3148779,Male,27,1,46.0,1,< 1 Year,No,28726.0,160.0,31,0
2835582,2835582,Female,25,1,15.0,0,< 1 Year,No,32966.0,152.0,98,0
10910387,10910387,Male,25,1,8.0,1,< 1 Year,No,40104.0,152.0,37,0
9773197,9773197,Male,34,1,46.0,0,1-2 Year,Yes,27124.0,152.0,282,0
10417872,10417872,Male,25,1,47.0,1,< 1 Year,No,34365.0,152.0,65,0
2084260,2084260,Female,37,1,47.0,0,1-2 Year,Yes,32671.0,154.0,240,0
4134569,4134569,Female,33,1,3.0,0,1-2 Year,Yes,2630.0,124.0,109,0
10204894,10204894,Female,55,1,28.0,1,1-2 Year,No,46685.0,26.0,257,0
4034970,4034970,Male,24,1,11.0,0,< 1 Year,Yes,28110.0,152.0,129,0
668503,668503,Male,34,1,32.0,1,1-2 Year,No,29902.0,152.0,126,0
8211902,8211902,Female,24,1,29.0,1,< 1 Year,No,33198.0,152.0,296,0
4315542,4315542,Male,23,1,32.0,0,< 1 Year,Yes,32050.0,124.0,257,0
4679068,4679068,Female,25,1,3.0,1,< 1 Year,No,28213.0,152.0,114,0
5460385,5460385,Female,23,1,29.0,1,< 1 Year,No,2630.0,26.0,226,0
9975152,9975152,Female,24,1,28.0,0,< 1 Year,Yes,48938.0,152.0,65,0
3694376,3694376,Male,24,1,8.0,1,< 1 Year,No,37338.0,152.0,295,0
6574610,6574610,Male,46,1,28.0,0,1-2 Year,Yes,37492.0,124.0,260,1
11221960,11221960,Female,54,1,28.0,0,1-2 Year,Yes,25007.0,122.0,236,0
1414718,1414718,Male,34,1,16.0,1,1-2 Year,No,2630.0,152.0,208,0
3321366,3321366,Female,44,1,36.0,1,1-2 Year,No,2630.0,160.0,217,0
10034088,10034088,Male,34,1,28.0,1,1-2 Year,No,31450.0,152.0,152,0
1538161,1538161,Female,58,1,33.0,1,1-2 Year,No,2630.0,124.0,215,0
9076905,9076905,Female,32,1,35.0,1,< 1 Year,No,34308.0,152.0,213,0
4481721,4481721,Male,63,1,11.0,1,1-2 Year,No,30962.0,26.0,289,0
5974940,5974940,Male,22,1,34.0,1,< 1 Year,No,23597.0,152.0,74,0
10415954,10415954,Male,47,1,10.0,0,1-2 Year,Yes,24378.0,124.0,14,1
3727882,3727882,Male,27,1,35.0,1,< 1 Year,No,38755.0,152.0,85,0
7116521,7116521,Male,28,1,37.0,0,< 1 Year,Yes,30520.0,152.0,71,0
6725651,6725651,Male,52,1,15.0,0,1-2 Year,Yes,50836.0,124.0,132,0
9585029,9585029,Male,23,1,30.0,1,< 1 Year,No,27104.0,152.0,232,0
10702801,10702801,Female,41,1,2.0,1,1-2 Year,No,28343.0,152.0,215,0
2515241,2515241,Male,50,1,39.0,1,1-2 Year,No,27566.0,127.0,115,0
4639300,4639300,Male,23,1,15.0,0,< 1 Year,Yes,34806.0,152.0,196,0
748846,748846,Male,48,1,27.0,1,1-2 Year,No,25403.0,26.0,262,0
3734892,3734892,Female,69,1,33.0,1,1-2 Year,No,28172.0,124.0,222,0
7283082,7283082,Female,55,1,8.0,0,1-2 Year,No,50890.0,26.0,298,0
11345622,11345622,Male,27,1,29.0,1,< 1 Year,No,32113.0,152.0,195,0
8817791,8817791,Female,42,1,28.0,0,1-2 Year,Yes,49379.0,26.0,277,0
6954118,6954118,Male,25,1,28.0,0,< 1 Year,Yes,50738.0,152.0,256,0
8470766,8470766,Female,61,1,47.0,0,1-2 Year,Yes,34757.0,26.0,246,0
10522066,10522066,Female,24,1,35.0,0,< 1 Year,Yes,27544.0,26.0,128,0
814463,814463,Male,60,1,28.0,0,> 2 Years,Yes,54522.0,26.0,233,0
10264965,10264965,Female,25,1,8.0,1,< 1 Year,No,51582.0,152.0,190,0
2626519,2626519,Male,42,1,28.0,1,1-2 Year,No,35647.0,152.0,117,0
4006791,4006791,Male,58,1,8.0,0,1-2 Year,Yes,38911.0,124.0,280,0
4766336,4766336,Female,25,1,10.0,0,< 1 Year,Yes,27894.0,26.0,281,0
7836336,7836336,Female,23,1,36.0,0,< 1 Year,Yes,35354.0,151.0,165,0
9703779,9703779,Male,26,1,12.0,1,< 1 Year,No,23269.0,152.0,233,0
10425884,10425884,Male,24,1,42.0,1,< 1 Year,No,28463.0,152.0,203,0
9073493,9073493,Male,44,1,3.0,0,1-2 Year,Yes,23961.0,124.0,286,0
5296120,5296120,Female,24,1,37.0,0,< 1 Year,Yes,30357.0,152.0,136,0
3527179,3527179,Female,47,1,28.0,0,1-2 Year,Yes,39094.0,26.0,277,1
10091035,10091035,Male,29,1,30.0,1,< 1 Year,No,26097.0,152.0,68,0
9164422,9164422,Male,24,1,28.0,1,< 1 Year,No,23951.0,152.0,77,0
8657607,8657607,Female,24,1,46.0,1,< 1 Year,No,29177.0,152.0,19,0
6937671,6937671,Female,24,1,46.0,0,< 1 Year,Yes,29076.0,152.0,291,0
4114614,4114614,Female,39,1,46.0,0,1-2 Year,No,2630.0,124.0,66,0
134077,134077,Male,32,1,28.0,0,< 1 Year,Yes,40356.0,124.0,267,1
8014258,8014258,Female,24,1,41.0,1,< 1 Year,No,38679.0,152.0,262,0
5610961,5610961,Female,22,1,45.0,1,< 1 Year,No,39114.0,152.0,268,0
8385751,8385751,Male,52,1,28.0,0,> 2 Years,Yes,45967.0,26.0,138,1
8921940,8921940,Male,26,1,46.0,1,< 1 Year,No,27073.0,152.0,203,0
4559172,4559172,Female,66,1,37.0,1,1-2 Year,No,23200.0,7.0,283,0
2437072,2437072,Female,42,1,46.0,0,1-2 Year,Yes,31554.0,124.0,119,0
119414,119414,Female,22,1,30.0,1,< 1 Year,No,35184.0,152.0,60,0
4743230,4743230,Male,25,1,41.0,1,< 1 Year,No,36335.0,152.0,149,0
6085931,6085931,Male,33,1,32.0,1,< 1 Year,No,28779.0,152.0,185,0
1345607,1345607,Male,59,0,15.0,0,1-2 Year,Yes,52886.0,26.0,189,0
4486686,4486686,Male,61,1,28.0,0,1-2 Year,Yes,46236.0,13.0,215,0
8989407,8989407,Female,41,1,28.0,0,1-2 Year,Yes,40207.0,13.0,120,0
6089893,6089893,Female,45,1,29.0,0,1-2 Year,Yes,49294.0,124.0,159,0
8200787,8200787,Male,22,1,49.0,0,< 1 Year,Yes,31097.0,160.0,68,0
3391779,3391779,Male,71,1,28.0,0,> 2 Years,Yes,40267.0,122.0,234,0
4809001,4809001,Male,27,1,28.0,0,< 1 Year,Yes,64419.0,124.0,72,1
9688022,9688022,Female,26,1,21.0,1,< 1 Year,Yes,2630.0,26.0,31,0
3455064,3455064,Female,30,1,24.0,0,< 1 Year,No,2630.0,152.0,80,0
7170190,7170190,Male,49,1,47.0,0,1-2 Year,Yes,2630.0,124.0,60,1
7880715,7880715,Male,48,1,28.0,0,1-2 Year,Yes,29258.0,124.0,11,0
6484382,6484382,Male,56,1,30.0,0,1-2 Year,Yes,39094.0,26.0,296,0
5179054,5179054,Female,23,1,11.0,1,< 1 Year,No,28596.0,152.0,247,0
4143722,4143722,Male,44,1,15.0,1,1-2 Year,No,35005.0,124.0,295,0
2339672,2339672,Male,61,1,28.0,0,1-2 Year,Yes,68319.0,122.0,187,0
5045601,5045601,Female,21,1,16.0,1,< 1 Year,No,2630.0,152.0,34,0
7240511,7240511,Male,24,1,6.0,1,< 1 Year,No,28474.0,152.0,91,0
2425995,2425995,Female,20,1,47.0,0,< 1 Year,Yes,28461.0,160.0,182,0
1716952,1716952,Female,25,1,37.0,1,< 1 Year,No,34170.0,152.0,280,0
8947194,8947194,Female,23,1,43.0,0,< 1 Year,No,32174.0,152.0,130,0
4218551,4218551,Male,52,1,33.0,1,1-2 Year,No,31836.0,26.0,182,0
955456,955456,Male,41,1,29.0,0,1-2 Year,Yes,23527.0,152.0,59,0
7164692,7164692,Male,59,1,28.0,0,1-2 Year,Yes,49145.0,26.0,222,0
8878197,8878197,Male,23,1,45.0,1,< 1 Year,No,2630.0,153.0,228,0
8165645,8165645,Male,38,1,6.0,0,1-2 Year,Yes,31490.0,26.0,21,1
9051730,9051730,Female,37,1,28.0,0,1-2 Year,Yes,32822.0,124.0,115,1
218353,218353,Male,49,1,26.0,0,1-2 Year,Yes,30104.0,26.0,239,0
6321747,6321747,Female,40,1,28.0,0,1-2 Year,Yes,29679.0,124.0,100,0
528733,528733,Male,43,1,8.0,1,1-2 Year,No,46552.0,124.0,287,0
4923019,4923019,Male,33,1,25.0,0,1-2 Year,Yes,35367.0,124.0,249,0
9215205,9215205,Male,33,1,28.0,1,1-2 Year,No,43919.0,26.0,194,0
4449608,4449608,Male,57,1,50.0,0,> 2 Years,Yes,24330.0,157.0,244,0
5884818,5884818,Female,30,1,28.0,1,1-2 Year,No,38388.0,26.0,262,0
6224312,6224312,Male,42,1,28.0,1,1-2 Year,No,30698.0,154.0,251,0
8524334,8524334,Female,25,1,30.0,1,< 1 Year,No,23773.0,152.0,289,0
2061196,2061196,Male,23,1,5.0,1,< 1 Year,No,35105.0,152.0,276,0
10567762,10567762,Female,23,1,30.0,0,< 1 Year,No,2630.0,157.0,199,0
348149,348149,Male,44,1,41.0,0,> 2 Years,Yes,30355.0,124.0,232,0
9420426,9420426,Male,68,1,28.0,1,1-2 Year,No,45941.0,26.0,134,0
7584840,7584840,Female,54,1,35.0,0,1-2 Year,Yes,28951.0,26.0,102,0
6595776,6595776,Male,78,1,28.0,0,> 2 Years,Yes,34167.0,124.0,292,0
4298416,4298416,Female,24,1,49.0,0,< 1 Year,Yes,28477.0,152.0,10,0
10539215,10539215,Female,42,1,28.0,1,1-2 Year,No,28471.0,124.0,238,0
10386114,10386114,Male,49,1,3.0,0,1-2 Year,Yes,37681.0,124.0,81,1
8457191,8457191,Male,36,1,4.0,0,1-2 Year,Yes,2630.0,156.0,196,0
9647904,9647904,Female,26,1,41.0,1,< 1 Year,No,35693.0,26.0,36,0
10773388,10773388,Female,24,1,37.0,1,< 1 Year,No,27216.0,152.0,231,0
11098244,11098244,Female,21,1,32.0,0,< 1 Year,Yes,35605.0,152.0,239,0
10351591,10351591,Female,27,1,41.0,1,< 1 Year,No,32957.0,152.0,221,0
5812138,5812138,Female,45,1,3.0,0,1-2 Year,Yes,2630.0,124.0,254,0
8954098,8954098,Male,36,1,28.0,0,1-2 Year,Yes,2630.0,124.0,146,0
6530559,6530559,Male,35,1,28.0,1,1-2 Year,No,31588.0,26.0,147,0
8886590,8886590,Female,28,1,18.0,1,< 1 Year,No,33850.0,152.0,111,0
2808153,2808153,Male,24,1,24.0,1,< 1 Year,No,2630.0,152.0,227,0
2049628,2049628,Female,24,1,20.0,1,< 1 Year,No,2630.0,151.0,126,0
8817028,8817028,Female,40,1,21.0,1,1-2 Year,No,2630.0,152.0,217,0
4295678,4295678,Male,30,1,46.0,1,< 1 Year,Yes,27363.0,124.0,153,0
7315411,7315411,Female,24,1,29.0,1,< 1 Year,No,36244.0,152.0,147,0
7454599,7454599,Female,25,1,21.0,1,< 1 Year,No,23869.0,152.0,273,0
9502438,9502438,Female,25,1,30.0,1,< 1 Year,No,25171.0,152.0,190,0
4614872,4614872,Male,33,1,8.0,0,1-2 Year,No,2630.0,156.0,192,0
4831197,4831197,Male,26,1,28.0,1,< 1 Year,No,25367.0,152.0,109,0
6654279,6654279,Female,22,1,37.0,0,< 1 Year,Yes,39731.0,152.0,254,0
1185747,1185747,Male,28,1,50.0,0,< 1 Year,Yes,2630.0,152.0,227,1
3530928,3530928,Female,34,1,17.0,0,1-2 Year,Yes,2630.0,157.0,44,1
2486756,2486756,Female,27,1,6.0,1,< 1 Year,No,25698.0,152.0,256,0
3090391,3090391,Male,42,1,28.0,0,1-2 Year,Yes,33258.0,26.0,84,0
9017861,9017861,Female,35,1,48.0,0,1-2 Year,Yes,2630.0,154.0,242,0
8427885,8427885,Male,53,1,19.0,0,1-2 Year,Yes,2630.0,124.0,12,0
6373923,6373923,Male,41,1,28.0,0,1-2 Year,Yes,51805.0,13.0,144,0
4292834,4292834,Female,26,1,32.0,1,< 1 Year,No,38254.0,152.0,111,0
6979653,6979653,Female,60,1,28.0,0,1-2 Year,Yes,52490.0,26.0,170,0
6168423,6168423,Female,57,1,11.0,1,1-2 Year,No,29168.0,120.0,223,0
762269,762269,Male,22,1,36.0,1,< 1 Year,No,32571.0,152.0,83,0
5025511,5025511,Female,50,1,35.0,1,1-2 Year,No,30833.0,26.0,208,0
11332838,11332838,Male,51,1,28.0,1,1-2 Year,No,53537.0,26.0,88,0
2119951,2119951,Male,40,1,46.0,0,1-2 Year,Yes,27330.0,124.0,212,1
476367,476367,Male,43,1,30.0,1,1-2 Year,No,2630.0,152.0,248,0
7606713,7606713,Female,57,1,50.0,0,1-2 Year,Yes,33982.0,152.0,56,0
5997655,5997655,Male,39,1,28.0,0,1-2 Year,Yes,34000.0,124.0,290,0
10128954,10128954,Female,55,1,28.0,0,1-2 Year,Yes,46796.0,26.0,252,1
8087849,8087849,Male,25,1,27.0,1,< 1 Year,No,33196.0,152.0,163,0
11137903,11137903,Female,24,1,28.0,1,< 1 Year,No,34998.0,152.0,293,0
3356354,3356354,Female,39,1,3.0,0,1-2 Year,Yes,25166.0,124.0,228,1
2336316,2336316,Male,60,1,28.0,0,1-2 Year,Yes,35246.0,124.0,263,1
9353707,9353707,Male,20,1,18.0,1,< 1 Year,No,2630.0,160.0,193,0
3789472,3789472,Male,26,1,28.0,1,< 1 Year,No,51177.0,152.0,184,0
8748755,8748755,Female,24,1,8.0,1,< 1 Year,No,29798.0,152.0,123,0
5961717,5961717,Female,37,1,28.0,0,1-2 Year,Yes,2630.0,124.0,136,0
10474180,10474180,Female,63,1,33.0,0,1-2 Year,Yes,32680.0,124.0,185,0
2276548,2276548,Male,24,1,8.0,1,< 1 Year,No,38771.0,152.0,24,0
2472075,2472075,Male,21,1,8.0,1,< 1 Year,No,53257.0,160.0,179,0
4479542,4479542,Male,45,1,2.0,0,1-2 Year,Yes,2630.0,156.0,95,0
7236747,7236747,Male,65,1,28.0,1,1-2 Year,No,47485.0,122.0,116,0
96898,96898,Male,43,1,46.0,0,1-2 Year,Yes,38805.0,26.0,119,0
5735320,5735320,Female,45,1,28.0,1,1-2 Year,No,37444.0,124.0,133,0
7266171,7266171,Female,25,1,29.0,1,< 1 Year,No,34170.0,152.0,33,0
4670087,4670087,Female,50,1,28.0,0,> 2 Years,Yes,64827.0,26.0,232,1
11072533,11072533,Female,38,1,28.0,0,1-2 Year,No,50420.0,124.0,226,0
7113699,7113699,Male,31,1,41.0,0,< 1 Year,Yes,24609.0,152.0,150,1
7355946,7355946,Male,21,1,25.0,1,< 1 Year,No,27120.0,160.0,62,0
10073013,10073013,Female,24,1,39.0,0,< 1 Year,Yes,30476.0,152.0,290,0
3602698,3602698,Male,67,1,29.0,0,1-2 Year,Yes,30689.0,124.0,223,0
4101065,4101065,Male,44,1,41.0,0,1-2 Year,Yes,2630.0,163.0,258,0
5614967,5614967,Female,39,1,28.0,0,1-2 Year,Yes,47506.0,26.0,125,1
5070699,5070699,Female,22,1,8.0,1,< 1 Year,No,36338.0,152.0,125,0
3738770,3738770,Female,38,1,28.0,1,1-2 Year,No,46300.0,124.0,251,0
5197437,5197437,Male,38,1,8.0,0,1-2 Year,No,48615.0,7.0,284,0
9822326,9822326,Male,55,1,28.0,0,1-2 Year,Yes,65744.0,124.0,146,0
1427178,1427178,Male,31,1,28.0,0,< 1 Year,Yes,30332.0,122.0,65,0
7257598,7257598,Female,25,1,43.0,0,< 1 Year,Yes,2630.0,152.0,130,0
9604558,9604558,Male,26,1,14.0,1,< 1 Year,No,43937.0,26.0,90,0
6630862,6630862,Female,72,1,8.0,0,> 2 Years,Yes,2630.0,156.0,206,0
